feature,importance
sales_rolling_mean_7,230.6717358341657
sales_lag_1,157.5836425767368
sales_lag_7,106.65696425017416
sales_lag_14,56.47728658179664
onpromotion,40.80439635312173
sales_rolling_mean_28,32.570786616554656
dayofweek,21.217303592103338
day,16.89583893171692
family,11.582055899155542
sales_lag_28,11.339578534380225
sales_rolling_mean_14,7.592350380089766
promo_rolling_7,6.871543306084603
sales_lag_90,5.943373065473477
sales_rolling_mean_90,4.718836962884035
sales_rolling_std_28,4.697860079212558
sales_rolling_std_7,3.841944768010581
sales_rolling_std_14,3.6239944592787015
dayofyear,3.6165887318255456
is_holiday,3.506601405484411
type,2.7066567066601563
sales_rolling_std_90,2.4526942896396724
oil_price,2.121744936592931
year,1.555978351134329
month,1.2130226706707217
cluster,1.0297188253756222
is_leap_year,0.5682976657073359
is_mid_month,0.05870695010593931
